model,domain,task,organization,authors,publication_date,reference,link,citations,notability_criteria,parameters,training_compute_(flop),training_dataset_size_(gradients),training_time_(hours),training_hardware,approach,confidence,epochs,model_accessibility,country,base_model,finetune_compute_(flop),hardware_quantity,last_modified,training_cloud_compute_vendor,batch_size,organization_categorization,foundation_model,training_chip-hours,training_code_accessibility,possibly_over_1e23_flop,training_compute_cost_(2023_usd),frontier_model,training_power_draw_(w),training_compute_estimation_method,year,era,notable_model,country_first,domain_group,export_controls_sum,publication_count
HiDream Foundation Model 1.0,"Video,Image generation,Vision,3D modeling","Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image",HiDream,Unknown,2024-12-28,The world's Most Powerful Multimodality Foundation Model,https://www.chinaitcapital.com/detail/126,,,10000000000.0,,,,,,Likely,,API access,China,,,,2025-10-13 14:22:06+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,China,Multimodal,1.0,32.96410593554805
Zhixiang 3.0 (智象),"Video,Image generation","Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image",HiDream,Unknown,2024-12-28,"“You can make videos if you can type”, and the multi-modal large model of Zhixiang has been upgraded","https://web.archive.org/web/20250624080243/https://news.sciencenet.cn/htmlnews/2024/12/536672.shtm
https://web.archive.org/web/20250624080711/https://finance.sina.com.cn/roll/2025-04-28/doc-ineustca2189779.shtml",,,13000000000.0,,,,,,Confident,,API access,China,,,,2025-10-06 16:39:17+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,China,Vision,1.0,32.96410593554805
LinGan VL (临感VL),Multimodal,,Beijing 58 Information Technology,Unknown,2024-12-27,CAC registry,https://www.cac.gov.cn/2024-04/02/c_1713729983803145.htm,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Multimodal,1.0,32.96410593554805
Xiaomi Pengpai Image (小米澎湃图像),Image generation,Image generation,Xiaomi Corp,Unknown,2024-12-27,CAC registry,https://web.archive.org/web/20250708152732/https://www.cnfin.com/gs-lb/detail/20241227/4165720_1.html,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Vision,1.0,32.96410593554805
Xiaomi Edge-side Text (小米端侧文本),Language,"Translation,Language generation",Xiaomi Corp,Unknown,2024-12-27,CAC registry,https://web.archive.org/web/20250708152732/https://www.cnfin.com/gs-lb/detail/20241227/4165720_1.html,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Language,1.0,32.96410593554805
QVQ,"Language,Vision,Multimodal","Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning",Alibaba,"Shuai Bai, Keqin Chen, Xuejing Liu, Jialin Wang, Wenbin Ge, Sibo Song, Kai Dang, Peng Wang, Shijie Wang, Jun Tang, Humen Zhong, Yuanzhi Zhu, Mingkun Yang, Zhaohai Li, Jianqiang Wan, Pengfei Wang, Wei Ding, Zheren Fu, Yiheng Xu, Jiabo Ye, Xi Zhang, Tianbao Xie, Zesen Cheng, Hang Zhang, Zhibo Yang, Haiyang Xu, Junyang Lin",2024-12-25,QVQ: To See the World with Wisdom,"https://qwenlm.github.io/blog/qvq-72b-preview/
https://arxiv.org/abs/2502.13923",,,72000000000.0,,,,,,Confident,,Open weights (restricted use),China,Qwen2-VL-72B,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,China,Multimodal,1.0,32.96410593554805
Jueqing LLM (觉卿大模型),"Language,Psychology",Chat,Suzhou Jueqing Diyu Intelligent Technology,Unknown,2024-12-25,CAC registry,https://web.archive.org/web/20250624095518/https://www.ksrmtzx.com/news/detail/239889,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Multimodal,1.0,32.96410593554805
DeepSeek-V3,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",DeepSeek,"DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Bingxuan Wang, Bochao Wu, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Daya Guo, Dejian Yang, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Haowei Zhang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Li, Hui Qu, J.L. Cai, Jian Liang, Jianzhong Guo, Jiaqi Ni, Jiashi Li, Jiawei Wang, Jin Chen, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, Junxiao Song, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Lei Xu, Leyi Xia, Liang Zhao, Litong Wang, Liyue Zhang, Meng Li, Miaojun Wang, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingming Li, Ning Tian, Panpan Huang, Peiyi Wang, Peng Zhang, Qiancheng Wang, Qihao Zhu, Qinyu Chen, Qiushi Du, R.J. Chen, R.L. Jin, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, Runxin Xu, Ruoyu Zhang, Ruyi Chen, S.S. Li, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shaoqing Wu, Shengfeng Ye, Shengfeng Ye, Shirong Ma, Shiyu Wang, Shuang Zhou, Shuiping Yu, Shunfeng Zhou, Shuting Pan, T. Wang, Tao Yun, Tian Pei, Tianyu Sun, W.L. Xiao, Wangding Zeng et al. (100 additional authors not shown)",2024-12-24,DeepSeek-V3 Technical Report,https://arxiv.org/abs/2412.19437,,Training cost,671000000000.0,3.4078e+24,14800000000000.0,,NVIDIA H800 SXM5,,Confident,,Open weights (restricted use),China,,,2048.0,2025-10-03 17:07:31+00:00,,,Industry,False,2788000.0,Unreleased,True,5390000.0,False,2818135.1812142837,"Operation counting,Hardware",2024,Deep learning era,True,China,Language,1.0,32.96410593554805
OCTAVE 8B,Speech,"Speech synthesis,Text-to-speech (TTS)",Hume,Unknown,2024-12-23,Introducing OCTAVE (Omni-Capable Text and Voice Engine),https://www.hume.ai/blog/introducing-octave,,,8000000000.0,,,,,,Confident,,Unreleased,United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,United States,Audio,25.0,11.2300474377788
OCTAVE 3B,Speech,"Speech synthesis,Text-to-speech (TTS)",Hume,Unknown,2024-12-23,Introducing OCTAVE (Omni-Capable Text and Voice Engine),https://www.hume.ai/blog/introducing-octave,,,3000000000.0,,,,,,Confident,,API access,United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,United States,Audio,25.0,11.2300474377788
RMBG v2.0,"Image generation,Vision",Image-to-image, BRIA AI,Unknown,2024-12-23,Our State-of-the-Art Background Removal Model and Pipelines Available for Commercial Use.,https://bria.ai/rmbg-for-commercial-use,,,221000000.0,,,,,,Confident,,Open weights (non-commercial),Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,Israel,Vision,,
VRMBG 2.0,Video,Video editing, BRIA AI,Unknown,2024-12-23,Video Background Removal: VRMBG v2.0,https://bria.ai/rmbg-for-commercial-use#video,,,,,,,,,Unknown,,API access,Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,Israel,Vision,,
o3,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Visual question answering,Search,Instruction interpretation,Visual puzzles",OpenAI,Unknown,2024-12-20,"Our most powerful reasoning model with leading performance on coding, math, science, and vision",https://openai.com/index/introducing-o3-and-o4-mini/,,Significant use,,,,,,,Unknown,,API access,United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,,,2024,Deep learning era,True,United States,Multimodal,25.0,11.2300474377788
Gemini 2.0 Flash Thinking,"Language,Vision,Multimodal","Language modeling/generation,Quantitative reasoning,Question answering,Visual question answering,Code generation","Google DeepMind,Google",Gemini Team,2024-12-19,"Our enhanced reasoning model, capable of showing its thoughts to improve performance and explainability",https://deepmind.google/technologies/gemini/flash-thinking/,,,,,,,,,Unknown,,API access,Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,United States,Multimodal,25.0,11.2300474377788
SEA-LION V3 Gemma2 9B,Language,"Question answering,Chat,Language modeling/generation",AI Singapore,AI Singapore,2024-12-19,SEA-LION V3,https://huggingface.co/aisingapore/gemma2-9b-cpt-sea-lionv3-base,,,9000000000.0,4.484146e+23,200000000000.0,240.0,NVIDIA H100 SXM5 80GB,Self-supervised learning,Confident,,Open weights (restricted use),Singapore,Gemma 2 9B,1.3314566e+22,64.0,2025-09-28 01:00:10+00:00,,,Government,False,,Open source,True,,False,88076.53091181243,"Hardware,Operation counting",2024,Deep learning era,False,Singapore,Language,,
SEA-LION V3 Llama3.1 8B,Language,"Question answering,Chat,Language modeling/generation",AI Singapore,AI Singapore,2024-12-19,SEA-LION V3,https://huggingface.co/aisingapore/llama3.1-8b-cpt-sea-lionv3-base,,,8000000000.0,1.23330162e+24,200000000000.0,136.0,NVIDIA H200 SXM,Self-supervised learning,Confident,,Open weights (restricted use),Singapore,Llama 3.1-8B,9.4496324e+21,64.0,2025-09-28 01:00:10+00:00,,,Government,False,,Open source,True,,False,88076.53091181243,"Hardware,Operation counting",2024,Deep learning era,False,Singapore,Language,,
SEA-LION V3 Llama3.1 70B,Language,"Question answering,Chat,Language modeling/generation",AI Singapore,AI Singapore,2024-12-19,SEA-LION V3,https://huggingface.co/aisingapore/Llama-SEA-LION-v3-70B,,,70000000000.0,8.0103891e+24,200000000000.0,136.0,"NVIDIA H200 SXM,NVIDIA H100 SXM5 80GB",Self-supervised learning,Confident,,Open weights (restricted use),Singapore,Llama 3.1-70B,8.2684245e+22,192.0,2025-09-28 01:00:10+00:00,,,Government,False,,Open source,True,,False,,"Hardware,Operation counting",2024,Deep learning era,False,Singapore,Language,,
Llama 3.1 Typhoon 2 70B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,70000000000.0,,,,NVIDIA H100 SXM5 80GB,,Speculative,,Open weights (restricted use),Thailand,Llama 3.1-70B,4.2e+21,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,11009.566363976552,Operation counting,2024,Deep learning era,False,Thailand,Language,,
Llama 3.1 Typhoon 2 8B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,8000000000.0,,,,NVIDIA H100 SXM5 80GB,,Likely,,Open weights (restricted use),Thailand,Llama 3.1-8B,1.2e+21,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,11009.566363976552,Operation counting,2024,Deep learning era,False,Thailand,Language,,
Typhoon 2 7B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,7000000000.0,,,,NVIDIA H100 SXM5 80GB,,Likely,,Open weights (unrestricted),Thailand,Qwen2.5-7B,1.05e+21,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,11009.566363976552,Operation counting,2024,Deep learning era,False,Thailand,Language,,
LLama 3.2 Typhoon 2 3B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,3000000000.0,,,,NVIDIA H100 SXM5 80GB,,Likely,,Open weights (restricted use),Thailand,Llama 3.2 3B,1.26e+19,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,11009.566363976552,Operation counting,2024,Deep learning era,False,Thailand,Language,,
LLama 3..2 Typhoon 2 1B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,1000000000.0,,,,NVIDIA H100 SXM5 80GB,,Likely,,Open weights (restricted use),Thailand,Llama 3.2 1B,4.2e+18,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,11009.566363976552,Operation counting,2024,Deep learning era,False,Thailand,Language,,
Typhoon2-Vision ,"Vision,Language,Multimodal","Language modeling/generation,Visual question answering",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,7000000000.0,,,,NVIDIA A100 SXM4 80 GB,,Confident,,Open weights (unrestricted),Thailand,Qwen2-VL-7B,,4.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,3145.5903897075864,,2024,Deep learning era,False,Thailand,Multimodal,,
Typhoon2-Audio,"Audio,Language,Speech,Multimodal","Language modeling/generation,Speech synthesis,Speech recognition (ASR),Text-to-speech (TTS),Audio generation,Audio question answering,Translation,Speech-to-speech",Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-19,Typhoon 2: A Family of Open Text and Multimodal Thai Large Language Models,https://arxiv.org/abs/2412.13702,,,9688000000.0,,,,,,Confident,,Open weights (restricted use),Thailand,Llama 3.1 Typhoon 2 8B,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,Thailand,Multimodal,,
Kling 1.6 Pro,"Video,Vision","Video generation,Text-to-video,Image-to-video",Kuaishou Technology,Unknown,2024-12-19,,https://ir.kuaishou.com/news-releases/news-release-details/kuaishou-kling-ai-unveils-multi-image-reference-feature-further/,,,,,,,,,Unknown,,API access,China,,,,2025-08-11 14:56:58+00:00,,,Industry,False,,Unreleased,True,,False,,,2024,Deep learning era,False,China,Vision,1.0,32.96410593554805
Granite 3.1 2B,Language,"Language modeling/generation,Question answering,Translation",IBM,Unknown,2024-12-18,,https://huggingface.co/ibm-granite/granite-3.1-2b-base,,,2500000000.0,1.8e+23,12000000000000.0,,NVIDIA H100 SXM5 80GB,,Confident,,Open weights (unrestricted),United States,,,,2025-08-01 16:23:39+00:00,IBM,,Industry,False,,Unreleased,True,,False,,Operation counting,2024,Deep learning era,False,United States,Language,25.0,11.2300474377788
Granite 3.1 8B,Language,"Language modeling/generation,Question answering,Translation",IBM,Unknown,2024-12-18,,https://huggingface.co/ibm-granite/granite-3.1-8b-base,,,8100000000.0,5.832e+23,12000000000000.0,,NVIDIA H100 SXM5 80GB,,Confident,,Open weights (unrestricted),United States,,,,2025-08-05 19:36:28+00:00,IBM,,Industry,False,,Unreleased,True,,False,,Operation counting,2024,Deep learning era,False,United States,Language,25.0,11.2300474377788
Eleven Flash v2.5,Speech,"Text-to-speech (TTS),Speech synthesis",ElevenLabs,Unknown,2024-12-18,You’ve never experienced human-like TTS this fast,https://elevenlabs.io/blog/meet-flash,,,,,,,,,Unknown,,API access,United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,United States,Audio,25.0,11.2300474377788
Typhoon2-Vision,,,Typhoon / SCB 10X,"Kunat Pipatanakul, Potsawee Manakul, Natapong Nitarach, Warit Sirichotedumrong, Surapon Nonesung, Teetouch Jaknamon, Parinthapat Pengpun, Pittawat Taveekitworachai, Adisai Na-Thalang, Sittipong Sripaisarnmongkol, Krisanapong Jirayoot, Kasima Tharnpipitchai",2024-12-18,,https://arxiv.org/abs/2412.13702,,,7000000000.0,,,,,,Confident,,Unknown,Thailand,,,,2025-08-16 09:47:05+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,Thailand,,,
Falcon3-7B,Language,"Language modeling/generation,Question answering,Code generation",Technology Innovation Institute,Unknown,2024-12-17,Welcome to the Falcon 3 Family of Open Models!,https://huggingface.co/blog/falcon3,,,7000000000.0,5.88e+23,14000000000000.0,,NVIDIA H100 SXM5 80GB,,Confident,,Open weights (unrestricted),United Arab Emirates,,,1024.0,2025-09-28 01:00:10+00:00,,,Government,False,,Unreleased,False,,False,1409287.2610737197,Operation counting,2024,Deep learning era,False,United Arab Emirates,Language,,
Veo 2,"Video,Vision","Video generation,Text-to-video,Image-to-video",Google DeepMind,"Agrim Gupta, Ali Razavi, Ankush Gupta, Dumitru Erhan, Eric Lau, Frank Belletti, Gabe Barth-Maron, Hakan Erdogan, Hakim Sidahmed, Henna Nandwani, Hernan Moraldo, Hyunjik Kim, Jeff Donahue, José Lezama, Kory Mathewson, Kurtis David, Marc van Zee, Medhini Narasimhan, Miaosen Wang, Mohammad Babaeizadeh, Nelly Papalampidi, Nick Pezzotti, Nilpa Jha, Parker Barnes, Pieter-Jan Kindermans, Rachel Hornung, Ruben Villegas, Ryan Poplin, Salah Zaiem, Sander Dieleman, Sayna Ebrahimi, Scott Wisdom, Serena Zhang, Shlomi Fruchter, Weizhe Hua, Xinchen Yan, Yuqing Du and Yutian Chen.",2024-12-16,Our state-of-the-art video generation model,https://deepmind.google/technologies/veo/veo-2/,,SOTA improvement,,,,,,,Unknown,,API access,Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,,,2024,Deep learning era,True,United States,Vision,25.0,11.2300474377788
SEA-LION-v1-7B-IT,Language,"Question answering,Chat,Language modeling/generation",AI Singapore,"Lau Wayne, Leong Wei Qi, Li Yier, Liu Bing Jie Darius, Lovenia Holy, Montalan Jann Railey, Ng Boon Cheong Raymond, Ngui Jian Gang, Nguyen Thanh Ngan, Ong Tat-Wee David, Rengarajan Hamsawardhini, Siow Bryan, Susanto Yosephine, Tai Ngee Chia, 
Tan Choon Meng, Teng Walter, Teo Eng Sipp Leslie, Teo Wei Yi, Tjhi William, Yeo Yeow Tong, Yong Xianbin",2024-12-16,SEA-LION-v1-7B-IT,https://huggingface.co/aisingapore/SEA-LION-v1-7B-IT,,,7500000000.0,,,,NVIDIA A100 SXM4 40 GB,,Confident,,Open weights (unrestricted),Singapore,SEA-LION V1 7B,,8.0,2025-09-28 01:00:10+00:00,,,Government,False,,Open source,False,,False,6291.601095376888,,2024,Deep learning era,False,Singapore,Language,,
F5-TTS,Speech,"Speech synthesis,Translation","Shanghai Jiao Tong University,University of Cambridge,Geely Automobile Research Institute (Ningbo) Company","Yushen Chen, Zhikang Niu, Ziyang Ma, Keqi Deng, Chunhui Wang, Jian Zhao, Kai Yu, Xie Chen",2024-12-15,F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,https://arxiv.org/abs/2410.06885,,,335800000.0,4.5287424e+20,27325800000.0,168.0,NVIDIA A100 SXM4 80 GB,,Confident,,Open weights (non-commercial),Multinational,,,8.0,2025-09-28 01:00:10+00:00,,307200.0,"Academia, Industry",False,,Open source,False,,False,6291.741206937689,Hardware,2024,Deep learning era,False,China,Audio,1.0,32.96410593554805
Jinshi (金石大模型),Language,"Chat,Language modeling/generation,Recommender system","Wuxi Sixiang Digital Intelligence Technology Co., Ltd.",Unknown,2024-12-15,CAC registry,https://web.archive.org/web/20250624054958/https://m.thepaper.cn/newsDetail_forward_29934565,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Language,1.0,32.96410593554805
Pika 2.0,Video,"Video generation,Text-to-video",Pika Labs,Unknown,2024-12-15,"Superior text alignment. Stunning visuals. And ✨Scene Ingredients✨ that allow you to upload images of yourself, people, places, and things—giving you more control and consistency than ever before.
","https://pikalabs.org/pika-2-0/

https://www.linkedin.com/posts/pika-labs_today-we-launched-our-pika-20-model-superior-activity-7273465246919380994-8R40?",,,,,,,,,Unknown,,API access,United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2024,Deep learning era,False,United States,Vision,25.0,11.2300474377788
Apollo 7B,"Video,Language,Multimodal",Video description,"Meta AI,Stanford University","Orr Zohar, Xiaohan Wang, Yann Dubois, Nikhil Mehta, Tong Xiao, Philippe Hansen-Estruch, Licheng Yu, Xiaofang Wang, Felix Juefei-Xu, Ning Zhang, Serena Yeung-Levy, Xide Xia",2024-12-13,Apollo: An Exploration of Video Understanding in Large Multimodal Models,https://arxiv.org/abs/2412.10360,,SOTA improvement,7000000000.0,,,,NVIDIA A100,,Confident,,Unreleased,United States,"Qwen2.5-7B,SigLIP 400M",,128.0,2025-09-28 01:00:10+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,100672.34303072088,,2024,Deep learning era,True,United States,Multimodal,25.0,11.2300474377788
Apollo 3B,"Video,Language,Multimodal",Video description,"Meta AI,Stanford University","Orr Zohar, Xiaohan Wang, Yann Dubois, Nikhil Mehta, Tong Xiao, Philippe Hansen-Estruch, Licheng Yu, Xiaofang Wang, Felix Juefei-Xu, Ning Zhang, Serena Yeung-Levy, Xide Xia",2024-12-13,Apollo: An Exploration of Video Understanding in Large Multimodal Models,https://arxiv.org/abs/2412.10360,,,3000000000.0,,,,NVIDIA A100,,Confident,,Unreleased,United States,"SigLIP 400M,Qwen2.5-3B",,128.0,2025-09-28 01:00:10+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,100672.34303072088,,2024,Deep learning era,False,United States,Multimodal,25.0,11.2300474377788
Apollo 1.5B,"Video,Language,Multimodal",Video description,"Meta AI,Stanford University","Orr Zohar, Xiaohan Wang, Yann Dubois, Nikhil Mehta, Tong Xiao, Philippe Hansen-Estruch, Licheng Yu, Xiaofang Wang, Felix Juefei-Xu, Ning Zhang, Serena Yeung-Levy, Xide Xia",2024-12-13,Apollo: An Exploration of Video Understanding in Large Multimodal Models,https://arxiv.org/abs/2412.10360,,,1500000000.0,,,,NVIDIA A100,,Confident,,Unreleased,United States,"SigLIP 400M,Qwen2.5-1.5B",,128.0,2025-09-28 01:00:10+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,100672.34303072088,,2024,Deep learning era,False,United States,Multimodal,25.0,11.2300474377788
360zhinao2-o1,Language,,360 Security Technology,Unknown,2024-12-13,,https://zhuanlan.zhihu.com/p/19327450022,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-09 04:43:37+00:00,,,Industry,False,,,False,,False,,,2024,Deep learning era,False,China,Language,1.0,32.96410593554805
Apollo-7B,"Multimodal,Video,Language","Video,Visual question answering,Video description,Language modeling/generation","Meta AI,Stanford University","Orr Zohar, Xiaohan Wang, Yann Dubois, Nikhil Mehta, Tong Xiao, Philippe Hansen-Estruch, Licheng Yu, Xiaofang Wang, Felix Juefei-Xu, Ning Zhang, Serena Yeung-Levy, Xide Xia",2024-12-13,"Apollo: An Exploration of Video Understanding in Large Multimodal Models
",https://arxiv.org/abs/2412.10360,44.0,,7000000000.0,,,,NVIDIA A100,,Confident,,Unreleased,United States,"SigLIP 400M,Qwen2.5-7B",,128.0,2025-10-14 18:16:29+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,100672.34303072088,,2024,Deep learning era,False,United States,Multimodal,25.0,11.2300474377788
GigaChat Lite (GigaChat-20B-A3B),Language,"Language modeling/generation,Question answering,Chat",Sber,Unknown,2024-12-13,the first open MoE model in Russia,https://habr.com/ru/companies/sberdevices/articles/865996/,,,20000000000.0,9.9e+22,,,,,Speculative,,Open weights (unrestricted),Russia,,,,2025-09-28 01:00:10+00:00,,,"Industry, Government",False,,Unreleased,False,,False,,,2024,Deep learning era,False,Russia,Language,,
Phi-4,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",Microsoft Research,"Marah Abdin, Jyoti Aneja, Harkirat Behl, Sébastien Bubeck, Ronen Eldan, Suriya Gunasekar, Michael Harrison, Russell J. Hewett, Mojan Javaheripi, Piero Kauffmann, James R. Lee, Yin Tat Lee, Yuanzhi Li, Weishung Liu, Caio C. T. Mendes, Anh Nguyen, Eric Price, Gustavo de Rosa, Olli Saarikivi, Adil Salim, Shital Shah, Xin Wang, Rachel Ward, Yue Wu, Dingli Yu, Cyril Zhang, Yi Zhang",2024-12-12,Phi-4 Technical Report,https://arxiv.org/abs/2412.08905,,,14000000000.0,9.3202015e+23,,504.0,NVIDIA H100 SXM5 80GB,,Confident,,Open weights (unrestricted),Multinational,,,1920.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,2642707.855343539,"Operation counting,Hardware",2024,Deep learning era,False,United States,Language,25.0,11.2300474377788
Gemini 2.0 Flash,"Language,Vision,Audio,Speech,Video,Multimodal","Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Code generation,Quantitative reasoning,Video description,Translation,Chat,Table tasks,Search,Text summarization","Google DeepMind,Google",Gemini Team,2024-12-11,Introducing Gemini 2.0: our new AI model for the agentic era,https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/#ceo-message,,,,,,,Google TPU v6e Trillium,,Unknown,,API access,Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,,,2024,Deep learning era,False,United States,Multimodal,25.0,11.2300474377788
